V1,V2,V3,V4
eOtu603,eOtu382,0.685994341,1
eOtu603,eOtu1226,0.657142857,1
eOtu603,eOtu381,0.657142857,1
eOtu603,eOtu1460,0.698253252,1
bOtu4162,bOtu42,0.771428571,1
bOtu4162,bOtu5585,0.771428571,1
bOtu4162,bOtu56,0.828571429,1
bOtu4162,bOtu6139,0.666736691,1
bOtu4162,bOtu1469,0.657142857,1
bOtu4162,bOtu1652,0.657142857,1
bOtu42,bOtu5585,0.941123948,1
bOtu42,eOtu364,0.657142857,1
bOtu42,bOtu56,0.840668002,1
bOtu42,bOtu6139,0.657142857,1
bOtu42,bOtu74,0.666736691,1
bOtu42,bOtu1469,0.771428571,1
bOtu42,bOtu581,0.666736691,1
bOtu42,bOtu1652,0.661764706,1
bOtu60,bOtu155,0.657142857,1
bOtu60,bOtu124,0.714285714,1
eOtu168,eOtu501,0.654653671,1
bOtu311,bOtu96,0.657142857,1
bOtu311,bOtu268,0.698253252,1
bOtu311,bOtu265,0.758970926,1
bOtu311,bOtu201,0.705882353,1
bOtu311,bOtu594,0.661764706,1
bOtu311,bOtu817,0.691176471,1
bOtu311,bOtu828,0.698253252,1
bOtu311,bOtu785,0.676123404,1
bOtu311,bOtu1853,0.657142857,1
bOtu311,bOtu333,0.657142857,1
bOtu311,bOtu208,0.666736691,1
bOtu311,bOtu223,0.714285714,1
bOtu311,bOtu679,0.664211164,1
bOtu311,eOtu1150,0.664211164,1
bOtu311,eOtu347,0.698253252,1
bOtu311,bOtu1065,0.826184389,1
bOtu311,bOtu441,0.676123404,1
bOtu311,bOtu173,0.771428571,1
bOtu311,eOtu1662,0.661764706,1
bOtu311,bOtu740,0.657142857,1
bOtu311,bOtu1361,0.666736691,1
bOtu311,bOtu844,0.664211164,1
bOtu311,bOtu4023,0.664211164,1
bOtu311,bOtu1301,0.708447269,1
bOtu311,bOtu469,0.657142857,1
bOtu311,bOtu3908,0.698253252,1
bOtu311,bOtu1900,0.758970926,1
bOtu311,bOtu2694,0.758970926,1
bOtu311,bOtu2371,0.695608344,1
bOtu111,bOtu333,0.657142857,1
bOtu111,bOtu436,0.657142857,1
bOtu111,bOtu740,0.714285714,1
bOtu155,bOtu124,0.828571429,1
bOtu155,bOtu149,0.714285714,1
bOtu155,bOtu741,0.657142857,1
bOtu155,bOtu76,0.714285714,1
bOtu155,bOtu562,0.714285714,1
bOtu155,bOtu255,0.714285714,1
bOtu155,bOtu157,0.753702346,1
bOtu155,bOtu109,0.714285714,1
bOtu155,bOtu246,0.657142857,1
bOtu155,bOtu1238,0.657142857,1
bOtu155,bOtu261,0.657142857,1
bOtu155,bOtu329,0.695725243,1
eOtu434,eOtu937,0.685994341,1
eOtu47,eOtu873,0.664211164,1
eOtu47,eOtu274,0.698253252,1
bOtu49,bOtu741,0.657142857,1
bOtu49,bOtu79,0.657142857,1
bOtu49,bOtu224,0.81167945,1
bOtu49,bOtu255,0.657142857,1
bOtu49,bOtu844,0.654653671,1
bOtu49,bOtu747,0.771428571,1
bOtu53,bOtu344,0.657142857,1
bOtu53,bOtu268,0.771428571,1
bOtu53,bOtu741,0.657142857,1
bOtu53,bOtu817,0.657142857,1
bOtu53,bOtu848,0.714285714,1
bOtu53,bOtu679,0.676123404,1
bOtu53,bOtu348,0.758970926,1
bOtu53,bOtu1361,0.698253252,1
bOtu53,bOtu1254,0.771428571,1
bOtu53,bOtu1816,0.695725243,1
bOtu53,bOtu2156,0.753702346,1
bOtu53,bOtu288,0.695725243,1
bOtu53,bOtu1652,0.657142857,1
bOtu53,bOtu948,0.654653671,1
bOtu53,bOtu1572,0.666736691,1
eOtu169,eOtu364,0.666736691,1
eOtu169,bOtu103,-0.654653671,-1
eOtu169,bOtu553,-0.698253252,-1
eOtu169,bOtu99,0.698253252,1
eOtu169,bOtu1648,0.771428571,1
eOtu169,eOtu286,0.764705882,1
eOtu169,bOtu1664,0.695608344,1
eOtu169,eOtu128,0.666736691,1
eOtu169,bOtu2990,0.708447269,1
eOtu169,bOtu532,0.657142857,1
eOtu169,bOtu288,0.708447269,1
eOtu169,eOtu1374,0.664211164,1
eOtu169,bOtu1652,0.705882353,1
eOtu169,eOtu417,0.698253252,1
eOtu169,bOtu906,0.677419355,1
eOtu33,eOtu191,0.657142857,1
eOtu33,eOtu317,0.695725243,1
bOtu101,bOtu395,0.657142857,1
bOtu96,bOtu116,0.753702346,1
bOtu96,bOtu265,0.677419355,1
bOtu96,bOtu582,0.695725243,1
bOtu96,bOtu248,0.753702346,1
bOtu96,bOtu205,0.657142857,1
bOtu96,bOtu594,0.81167945,1
bOtu96,bOtu828,0.698253252,1
bOtu96,bOtu3601,0.695725243,1
bOtu96,bOtu138,0.695725243,1
bOtu96,bOtu1853,0.758970926,1
bOtu96,bOtu547,0.677419355,1
bOtu96,bOtu394,0.828571429,1
bOtu96,bOtu441,0.657142857,1
bOtu96,bOtu173,0.753702346,1
bOtu96,bOtu460,0.771428571,1
bOtu96,bOtu2315,0.764705882,1
bOtu96,bOtu263,0.724713795,1
bOtu96,bOtu576,0.695725243,1
bOtu96,bOtu106,0.657142857,1
bOtu96,bOtu3191,0.666736691,1
bOtu96,bOtu1512,0.771428571,1
bOtu96,bOtu1900,0.691176471,1
bOtu96,bOtu772,0.676123404,1
bOtu96,bOtu773,0.714285714,1
bOtu96,bOtu287,0.664211164,1
bOtu96,bOtu453,0.708447269,1
bOtu96,bOtu794,0.657142857,1
bOtu96,bOtu659,0.654653671,1
bOtu96,bOtu2371,0.714285714,1
bOtu423,bOtu582,0.714285714,1
bOtu423,bOtu707,0.657142857,1
bOtu158,bOtu252,0.654653671,1
bOtu57,bOtu95,0.771428571,1
bOtu57,bOtu1853,0.695725243,1
bOtu57,bOtu179,0.691176471,1
bOtu57,bOtu640,0.657142857,1
bOtu57,bOtu392,0.81167945,1
bOtu57,bOtu553,0.676123404,1
bOtu57,bOtu547,0.753702346,1
bOtu57,bOtu984,0.724713795,1
bOtu57,bOtu290,0.714285714,1
bOtu57,bOtu2260,0.657142857,1
bOtu57,bOtu1773,0.758970926,1
bOtu256,bOtu116,0.880406274,1
bOtu256,bOtu265,0.691176471,1
bOtu256,bOtu248,0.771428571,1
bOtu256,bOtu205,0.806451613,1
bOtu256,bOtu594,0.764705882,1
bOtu256,bOtu103,0.828571429,1
bOtu256,bOtu138,0.753702346,1
bOtu256,bOtu1853,0.724713795,1
bOtu256,bOtu179,0.771428571,1
bOtu256,bOtu553,0.705882353,1
bOtu256,bOtu547,0.657142857,1
bOtu256,bOtu173,0.77005138,1
bOtu256,bOtu233,0.718421208,1
bOtu256,bOtu1648,-0.657142857,-1
bOtu256,bOtu263,0.758970926,1
bOtu256,bOtu576,0.685994341,1
bOtu256,bOtu146,0.657142857,1
bOtu256,bOtu3191,0.758970926,1
bOtu256,bOtu1512,0.691176471,1
bOtu256,bOtu584,0.677419355,1
bOtu256,eOtu1361,0.654653671,1
bOtu256,bOtu2174,0.664211164,1
bOtu256,bOtu773,0.714285714,1
bOtu256,bOtu287,0.77005138,1
bOtu256,bOtu548,-0.676123404,-1
bOtu256,bOtu2260,0.753702346,1
bOtu256,bOtu794,0.714285714,1
bOtu256,bOtu659,0.698253252,1
bOtu344,bOtu335,0.714285714,1
bOtu344,bOtu490,0.657142857,1
eOtu69,eOtu201,0.657142857,1
eOtu167,bOtu1664,0.654653671,1
eOtu88,eOtu134,0.664211164,1
bOtu124,bOtu149,0.657142857,1
bOtu124,bOtu741,0.657142857,1
bOtu124,bOtu76,0.657142857,1
bOtu124,bOtu487,0.657142857,1
bOtu124,bOtu562,0.657142857,1
bOtu124,bOtu255,0.657142857,1
bOtu124,bOtu157,0.771428571,1
bOtu124,bOtu109,0.714285714,1
bOtu124,bOtu1238,0.657142857,1
bOtu124,bOtu261,0.657142857,1
bOtu124,bOtu329,0.714285714,1
bOtu5585,bOtu56,0.828571429,1
bOtu5585,bOtu6139,0.698253252,1
bOtu5585,bOtu1469,0.771428571,1
bOtu5585,bOtu581,0.695725243,1
bOtu5585,bOtu1652,0.657142857,1
eOtu191,eOtu395,0.753702346,1
eOtu191,eOtu317,0.657142857,1
bOtu268,bOtu741,0.657142857,1
bOtu268,bOtu817,0.666736691,1
bOtu268,bOtu848,0.657142857,1
bOtu268,bOtu223,0.654653671,1
bOtu268,eOtu573,0.654653671,1
bOtu268,bOtu679,0.695725243,1
bOtu268,eOtu1150,0.695608344,1
bOtu268,eOtu1106,0.654653671,1
bOtu268,bOtu1065,0.676123404,1
bOtu268,bOtu348,0.774596669,1
bOtu268,bOtu1361,0.753702346,1
bOtu268,bOtu1254,0.774596669,1
bOtu268,eOtu501,0.695608344,1
bOtu268,bOtu165,0.657142857,1
bOtu268,bOtu2156,0.714285714,1
bOtu268,eOtu774,0.695725243,1
bOtu268,bOtu2694,0.666736691,1
bOtu268,bOtu1652,0.714285714,1
bOtu268,bOtu948,0.753702346,1
bOtu268,eOtu593,0.657142857,1
bOtu268,bOtu455,0.654653671,1
bOtu116,bOtu265,0.771428571,1
bOtu116,bOtu248,0.828571429,1
bOtu116,bOtu205,0.8196886,1
bOtu116,bOtu594,0.828571429,1
bOtu116,bOtu103,0.782690898,1
bOtu116,bOtu828,0.714285714,1
bOtu116,bOtu138,0.788893492,1
bOtu116,bOtu1853,0.771428571,1
bOtu116,bOtu179,0.708447269,1
bOtu116,bOtu547,0.695725243,1
bOtu116,bOtu59,0.676123404,1
bOtu116,bOtu173,0.828571429,1
bOtu116,bOtu2315,0.758970926,1
bOtu116,bOtu263,0.714285714,1
bOtu116,bOtu576,0.698253252,1
bOtu116,bOtu146,0.714285714,1
bOtu116,bOtu989,0.698253252,1
bOtu116,bOtu803,0.666736691,1
bOtu116,bOtu106,0.657142857,1
bOtu116,bOtu3191,0.771428571,1
bOtu116,bOtu1512,0.806451613,1
bOtu116,bOtu415,0.695725243,1
bOtu116,bOtu773,0.708447269,1
bOtu116,bOtu287,0.718421208,1
bOtu116,bOtu548,-0.677645214,-1
bOtu116,bOtu794,0.771428571,1
bOtu116,bOtu659,0.77005138,1
eOtu170,bOtu348,0.698253252,1
eOtu170,eOtu774,0.741935484,1
eOtu170,bOtu1652,0.691176471,1
bOtu54,bOtu128,0.714285714,1
bOtu54,bOtu984,0.695725243,1
bOtu113,bOtu436,0.657142857,1
bOtu113,bOtu613,0.657142857,1
bOtu113,bOtu469,0.657142857,1
bOtu113,bOtu434,0.657142857,1
bOtu145,bOtu63,0.657142857,1
bOtu265,bOtu201,0.666736691,1
bOtu265,bOtu248,0.823529412,1
bOtu265,bOtu205,0.705882353,1
bOtu265,bOtu594,0.828571429,1
bOtu265,bOtu183,0.695725243,1
bOtu265,bOtu828,0.808823529,1
bOtu265,bOtu138,0.714285714,1
bOtu265,bOtu1853,0.724713795,1
bOtu265,bOtu333,0.657142857,1
bOtu265,bOtu436,0.657142857,1
bOtu265,bOtu59,0.77005138,1
bOtu265,bOtu1065,0.657142857,1
bOtu265,bOtu441,0.685994341,1
bOtu265,bOtu173,0.828571429,1
bOtu265,bOtu2315,0.788893492,1
bOtu265,bOtu146,0.77005138,1
bOtu265,bOtu803,0.695725243,1
bOtu265,bOtu494,0.657142857,1
bOtu265,bOtu229,0.657142857,1
bOtu265,bOtu3191,0.826184389,1
